timestamp,nearest_sensor,nearest_sensor_dist,rf_confidence,rf_is_threat,audio_mambo,audio_bebop,audio_background,audio_is_threat,visual_confidence,visual_is_threat,label,sensor_0_threat_conf,sensor_0_friendly_conf,sensor_1_threat_conf,sensor_1_friendly_conf,sensor_2_threat_conf,sensor_2_friendly_conf,sensor_3_threat_conf,sensor_3_friendly_conf,sensor_4_threat_conf,sensor_4_friendly_conf,sensor_5_threat_conf,sensor_5_friendly_conf,sensor_6_threat_conf,sensor_6_friendly_conf,sensor_7_threat_conf,sensor_7_friendly_conf,sensor_8_threat_conf,sensor_8_friendly_conf,sensor_9_threat_conf,sensor_9_friendly_conf,sensor_10_threat_conf,sensor_10_friendly_conf,sensor_11_threat_conf,sensor_11_friendly_conf,sensor_12_threat_conf,sensor_12_friendly_conf,sensor_13_threat_conf,sensor_13_friendly_conf,sensor_14_threat_conf,sensor_14_friendly_conf,sensor_15_threat_conf,sensor_15_friendly_conf,sensor_16_threat_conf,sensor_16_friendly_conf,sensor_17_threat_conf,sensor_17_friendly_conf,sensor_18_threat_conf,sensor_18_friendly_conf,sensor_19_threat_conf,sensor_19_friendly_conf,sensor_20_threat_conf,sensor_20_friendly_conf,sensor_21_threat_conf,sensor_21_friendly_conf,sensor_22_threat_conf,sensor_22_friendly_conf
1780929556.5525858,13,59.53990258641679,8.695652173913043,True,1.401298464324817e-42,0.0,100.0,False,99.94329810142517,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5479544997215271,0.4520455002784729,0.6914405822753906,0.308559387922287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929622.3654184,14,30.364452901377952,4.3478260869565215,True,5.605193857299268e-43,0.0,100.0,False,99.99885559082031,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849632203578949,0.7150368094444275,0.9635010361671448,0.036498963832855225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929622.3654184,14,30.364452901377952,4.3478260869565215,True,5.605193857299268e-43,0.0,100.0,False,99.99885559082031,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2849632203578949,0.7150368094444275,0.9635010361671448,0.036498963832855225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929623.5329888,14,10.295630140987,8.695652173913043,True,1.8216880036222622e-42,0.0,100.0,False,99.84689354896545,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957714676856995,0.004228530451655388,0.9999984502792358,1.5211508070933633e-06,0.2111825942993164,0.7888174057006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929623.5329888,14,10.295630140987,8.695652173913043,True,1.8216880036222622e-42,0.0,100.0,False,99.84689354896545,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957714676856995,0.004228530451655388,0.9999984502792358,1.5211508070933633e-06,0.2111825942993164,0.7888174057006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929624.1517298,14,18.439088914585774,8.695652173913043,True,1.401298464324817e-43,0.0,100.0,False,99.99998807907104,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052851602435112,0.8947148323059082,0.9999420642852783,5.7965826272265986e-05,0.8235809206962585,0.17641913890838623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929624.1517298,14,18.439088914585774,8.695652173913043,True,1.401298464324817e-43,0.0,100.0,False,99.99998807907104,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052851602435112,0.8947148323059082,0.9999420642852783,5.7965826272265986e-05,0.8235809206962585,0.17641913890838623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929624.7768216,15,49.09175083453431,13.043478260869565,True,0.0,0.0,100.0,False,99.99983310699463,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533060908317566,0.2466939240694046,0.9902747869491577,0.009725173003971577,0.7568617463111877,0.24313828349113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929624.7768216,15,49.09175083453431,13.043478260869565,True,0.0,0.0,100.0,False,99.99983310699463,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533060908317566,0.2466939240694046,0.9902747869491577,0.009725173003971577,0.7568617463111877,0.24313828349113464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929625.3783915,14,32.202484376209235,0.0,False,1.401298464324817e-43,0.0,100.0,False,99.99998807907104,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03904525935649872,0.9609547257423401,0.018732499331235886,0.9812675714492798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929625.3783915,14,32.202484376209235,0.0,False,1.401298464324817e-43,0.0,100.0,False,99.99998807907104,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03904525935649872,0.9609547257423401,0.018732499331235886,0.9812675714492798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929625.9980044,14,7.211102550927978,4.3478260869565215,True,1.8216880036222622e-42,0.0,100.0,False,99.99927282333374,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08078396320343018,0.919215977191925,1.0,5.898701971318587e-08,0.2871546447277069,0.7128453254699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929625.9980044,14,7.211102550927978,4.3478260869565215,True,1.8216880036222622e-42,0.0,100.0,False,99.99927282333374,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08078396320343018,0.919215977191925,1.0,5.898701971318587e-08,0.2871546447277069,0.7128453254699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929626.5907586,15,21.587033144922902,13.043478260869565,True,0.0,0.0,100.0,False,99.99836683273315,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6219331622123718,0.37806689739227295,0.9999998807907104,1.1493938245621393e-07,0.9950180053710938,0.004981967620551586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929626.5907586,15,21.587033144922902,13.043478260869565,True,0.0,0.0,100.0,False,99.99836683273315,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6219331622123718,0.37806689739227295,0.9999998807907104,1.1493938245621393e-07,0.9950180053710938,0.004981967620551586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929627.2152483,15,38.05259518088089,8.695652173913043,True,9.80908925027372e-43,0.0,100.0,False,99.94329810142517,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399287104606628,0.06007133424282074,0.9879065752029419,0.01209339965134859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929627.2152483,15,38.05259518088089,8.695652173913043,True,9.80908925027372e-43,0.0,100.0,False,99.94329810142517,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9399287104606628,0.06007133424282074,0.9879065752029419,0.01209339965134859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929627.841951,15,45.69463863518345,8.695652173913043,True,1.401298464324817e-43,0.0,100.0,False,99.97357726097107,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769502639770508,0.12304972857236862,0.5477434992790222,0.4522565007209778,0.3491183817386627,0.6508816480636597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929627.841951,15,45.69463863518345,8.695652173913043,True,1.401298464324817e-43,0.0,100.0,False,99.97357726097107,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8769502639770508,0.12304972857236862,0.5477434992790222,0.4522565007209778,0.3491183817386627,0.6508816480636597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1780929628.4455476,15,36.235341863986875,4.3478260869565215,True,0.0,0.0,100.0,False,99.9987006187439,True,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9317272901535034,0.06827273219823837,0.3517884314060211,0.6482115387916565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
