timestamp,is_threat_gt,rf_confidence,rf_is_threat,audio_mambo,audio_bebop,audio_background,audio_is_threat,visual_confidence,visual_is_threat,sensor_0_threat_conf,sensor_0_friendly_conf,sensor_1_threat_conf,sensor_1_friendly_conf,sensor_2_threat_conf,sensor_2_friendly_conf,sensor_3_threat_conf,sensor_3_friendly_conf,sensor_4_threat_conf,sensor_4_friendly_conf,sensor_5_threat_conf,sensor_5_friendly_conf,sensor_6_threat_conf,sensor_6_friendly_conf,sensor_7_threat_conf,sensor_7_friendly_conf,sensor_8_threat_conf,sensor_8_friendly_conf,sensor_9_threat_conf,sensor_9_friendly_conf,sensor_10_threat_conf,sensor_10_friendly_conf,sensor_11_threat_conf,sensor_11_friendly_conf,sensor_12_threat_conf,sensor_12_friendly_conf,sensor_13_threat_conf,sensor_13_friendly_conf,sensor_14_threat_conf,sensor_14_friendly_conf,sensor_15_threat_conf,sensor_15_friendly_conf,sensor_16_threat_conf,sensor_16_friendly_conf,sensor_17_threat_conf,sensor_17_friendly_conf,sensor_18_threat_conf,sensor_18_friendly_conf,sensor_19_threat_conf,sensor_19_friendly_conf,sensor_20_threat_conf,sensor_20_friendly_conf,sensor_21_threat_conf,sensor_21_friendly_conf,sensor_22_threat_conf,sensor_22_friendly_conf
1781710126.3532937,1,13.043478260869565,True,4.0637655465419695e-42,0.0,100.0,False,99.84689354896545,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.838617742061615,0.16138221323490143,0.9648994207382202,0.035100605338811874,0.9665819406509399,0.03341810777783394,0.08040667325258255,0.9195933938026428
1781710131.9419878,1,4.3478260869565215,True,1.89497591330645e-39,1.8216880036222622e-42,100.0,False,99.99998807907104,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13386178016662598,0.8661381602287292,0.3448135554790497,0.6551864743232727,0.9991798996925354,0.0008201384334824979,0.4462142884731293,0.5537857413291931,0.0,0.0
1781710132.891195,1,8.695652173913043,True,5.885453550164232e-42,0.0,100.0,False,99.99922513961792,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05687275528907776,0.9431272745132446,0.9981220364570618,0.0018779222154989839,0.9809761047363281,0.019023939967155457,0.0,0.0,0.0,0.0
1781710133.8793046,1,4.3478260869565215,True,4.137305689949736e-38,4.007713607968977e-41,100.0,False,99.99902248382568,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050900995731354,0.694909930229187,0.999923825263977,7.616288348799571e-05,0.41040802001953125,0.589591920375824,0.0,0.0,0.0,0.0
1781710134.9371305,0,0.0,False,4.137305689949736e-38,4.007713607968977e-41,100.0,False,0.00024230364488175837,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03299327939748764,0.9670066833496094,0.03676626831293106,0.9632337093353271,0.07780569791793823,0.9221943616867065,0.0,0.0,0.0,0.0
1781710135.6207793,0,0.0,False,9.028930343245521e-38,9.122453002754559e-41,100.0,False,0.0034459513699403033,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448291078209877,0.9551709294319153,0.1133367121219635,0.8866633176803589,0.06924363970756531,0.9307563304901123,0.0,0.0,0.0,0.0
1781710136.3117847,1,4.3478260869565215,True,8.5177927153984e-39,6.866362475191604e-42,100.0,False,99.98996257781982,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490394175052643,0.8850960731506348,0.9999998807907104,7.121450806835128e-08,0.2224092036485672,0.777590811252594,0.0,0.0,0.0,0.0
1781710137.0648835,0,0.0,False,1.1131915000596347e-39,8.407790785948902e-43,100.0,False,0.0005698732365999604,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05169004574418068,0.9483100175857544,0.2076788693666458,0.7923211455345154,0.48341408371925354,0.5165858864784241,0.0,0.0,0.0,0.0
1781710137.8008716,0,0.0,False,1.4573504028978098e-41,0.0,100.0,False,0.003897520582540892,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2527466118335724,0.7472533583641052,0.05211624130606651,0.9478837251663208,0.13163098692893982,0.8683690428733826,0.0,0.0,0.0,0.0
1781710138.4874134,0,0.0,False,6.103075201673876e-39,5.324934164434305e-42,100.0,False,0.36122784949839115,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522670030593872,0.7747732400894165,0.4560980796813965,0.5439019203186035,0.08468180149793625,0.9153182506561279,0.0,0.0,0.0,0.0
1781710139.1978629,1,8.695652173913043,True,3.60133705331478e-41,0.0,100.0,False,99.99961853027344,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522872924804688,0.14771264791488647,0.9518935680389404,0.04810645803809166,0.1768491417169571,0.8231508135795593,0.0,0.0,0.0,0.0
1781710140.6977863,1,8.695652173913043,True,1.2307604412164868e-39,8.407790785948902e-43,100.0,False,99.99823570251465,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115676879882812,0.08843228965997696,0.9561606645584106,0.043839290738105774,0.28111281991004944,0.7188871502876282,0.0,0.0,0.0,0.0
1781710141.37298,1,0.0,False,2.7024637277130514e-35,4.143569494085268e-38,100.0,False,0.09458109852857888,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15152885019779205,0.8484711647033691,0.25558412075042725,0.7444158792495728,0.33326396346092224,0.6667360067367554,0.0,0.0,0.0,0.0
1781710142.0599847,0,0.0,False,3.02540338447728e-40,1.401298464324817e-43,100.0,False,0.006952628609724343,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1182432696223259,0.8817566633224487,0.22241409122943878,0.7775859236717224,0.045491475611925125,0.9545084834098816,0.0,0.0,0.0,0.0
1781710143.207266,0,0.0,False,4.123741120815072e-39,3.363116314379561e-42,100.0,False,0.18358529778197408,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37266814708709717,0.6273319125175476,0.020775550976395607,0.9792243838310242,0.48727235198020935,0.512727677822113,0.0,0.0,0.0,0.0
1781710143.8920262,1,0.0,False,1.6815581571897805e-42,0.0,100.0,False,0.003897520582540892,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20615002512931824,0.7938500046730042,0.3496800661087036,0.6503199338912964,0.0,0.0,0.0,0.0
1781710144.5598872,1,4.3478260869565215,True,1.401298464324817e-43,0.0,100.0,False,99.99994039535522,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9007664918899536,0.09923344105482101,0.0,0.0,0.0,0.0
1781710145.374014,1,0.0,False,0.0,0.0,100.0,False,0.01011225176625885,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781710146.2899299,1,8.695652173913043,True,1.961817850054744e-42,0.0,100.0,False,99.99426603317261,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483102202415466,0.451689749956131,0.5771390795707703,0.4228609502315521
1781710147.2010913,1,0.0,False,1.401298464324817e-43,0.0,100.0,False,0.010402032785350457,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32090505957603455,0.6790949702262878,0.028747592121362686,0.9712523818016052
1781710148.0774457,1,8.695652173913043,True,5.605193857299268e-43,0.0,100.0,False,99.99998807907104,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6941916942596436,0.30580827593803406,0.5120823979377747,0.48791757225990295
1781710149.012064,0,0.0,False,1.5414283107572988e-42,0.0,100.0,False,0.00030502294521284057,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28531989455223083,0.7146801352500916,0.0,0.0
1781710149.7217348,1,0.0,False,0.0,0.0,100.0,False,0.0061526916397269815,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781710150.3773108,1,0.0,False,2.942726775082116e-42,0.0,100.0,False,7.51659456454945e-05,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
